source,rg_ratio,lab_a,mean_r,mean_g,mean_b,label
tongue,1.340181,141.047668,137.6649,102.7211,95.2971,1
tongue,1.389805,143.547098,139.1352,100.1113,98.1374,1
tongue,1.380677,143.413442,140.6716,101.886,99.6703,1
tongue,1.355862,142.431536,137.6653,101.5334,100.1161,1
tongue,1.361511,143.237625,145.1762,106.6288,104.7874,1
tongue,1.356251,143.599355,153.386,113.0956,110.4195,1
tongue,1.342164,142.890625,150.4645,112.106,109.5886,1
tongue,1.443397,145.94941,145.0963,100.5242,99.5623,0
tongue,1.390408,143.606917,138.0906,99.3166,98.3697,1
tongue,1.354852,141.607857,128.138,94.5771,93.3929,1
tongue,1.298028,141.38336,151.15,116.4458,113.9003,1
tongue,1.433689,144.873587,138.3492,96.4988,94.4849,1
tongue,1.344541,142.016645,140.4965,104.4941,101.2457,1
tongue,1.393402,143.581346,142.0335,101.9329,97.1989,1
tongue,1.321514,141.303632,139.8173,105.8008,103.5506,1
